symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VHM.VN')","('high', 'VHM.VN')","('low', 'VHM.VN')","('close', 'VHM.VN')","('volume', 'VHM.VN')"
VHM,2019-07-18,60470.0,61200.0,60470.0,61200.0,513470.0,,,,,,
VHM,2019-07-19,60470.0,62150.0,60760.0,61560.0,1028110.0,,,,,,
VHM,2019-07-22,61560.0,61640.0,61050.0,61640.0,471720.0,,,,,,
VHM,2019-07-23,61640.0,62660.0,61420.0,62510.0,826210.0,,,,,,
VHM,2019-07-24,62660.0,63170.0,62070.0,62510.0,542990.0,,,,,,
VHM,2019-07-25,62510.0,64769.0,62290.0,63750.0,1379690.0,,,,,,
VHM,2019-07-26,63750.0,64040.0,63090.0,63750.0,473900.0,,,,,,
VHM,2019-07-29,63750.0,64110.0,63240.0,63970.0,423030.0,,,,,,
VHM,2019-07-30,65129.0,65129.0,61200.0,61200.0,987720.0,,,,,,
VHM,2019-07-31,61930.0,64989.0,61930.0,64260.0,991720.0,,,,,,
VHM,2019-08-01,64840.0,66150.0,64110.0,65940.0,913610.0,,,,,,
VHM,2019-08-02,64550.0,65720.0,64190.0,65720.0,627380.0,,,,,,
VHM,2019-08-05,64840.0,65570.0,62070.0,62070.0,902620.0,,,,,,
VHM,2019-08-06,61560.0,61710.0,60400.0,60840.0,960830.0,,,,,,
VHM,2019-08-07,61930.0,62150.0,60690.0,61200.0,724520.0,,,,,,
VHM,2019-08-08,61940.0,63040.0,60980.0,62310.0,556040.0,,,,,,
VHM,2019-08-09,62670.0,62670.0,61640.0,61940.0,352540.0,,,,,,
VHM,2019-08-12,61500.0,62160.0,61420.0,62080.0,229140.0,,,,,,
VHM,2019-08-13,61940.0,61940.0,60540.0,61130.0,723240.0,,,,,,
VHM,2019-08-14,61570.0,62230.0,61200.0,61200.0,487320.0,,,,,,
VHM,2019-08-15,60460.0,61940.0,59730.0,61940.0,368870.0,,,,,,
VHM,2019-08-16,61640.0,62820.0,61570.0,61570.0,589570.0,,,,,,
VHM,2019-08-19,61940.0,62160.0,61570.0,62080.0,341980.0,,,,,,
VHM,2019-08-20,62080.0,64000.0,62080.0,63930.0,642320.0,,,,,,
VHM,2019-08-21,63850.0,64890.0,63710.0,64370.0,548090.0,,,,,,
VHM,2019-08-22,64519.0,64810.0,64000.0,64810.0,380330.0,,,,,,
VHM,2019-08-23,64890.0,64890.0,64150.0,64150.0,582580.0,,,,,,
VHM,2019-08-26,62670.0,63560.0,62670.0,63340.0,375290.0,,,,,,
VHM,2019-08-27,63340.0,64810.0,63340.0,63850.0,871250.0,,,,,,
VHM,2019-08-28,63410.0,64519.0,63410.0,64000.0,297410.0,,,,,,
VHM,2019-08-29,64000.0,64150.0,62900.0,64000.0,344570.0,,,,,,
VHM,2019-08-30,64000.0,64890.0,64000.0,64739.0,436220.0,,,,,,
VHM,2019-09-03,64739.0,64810.0,64300.0,64590.0,243420.0,,,,,,
VHM,2019-09-04,64670.0,65770.0,64300.0,65620.0,862730.0,,,,,,
VHM,2019-09-05,65620.0,66070.0,65330.0,65620.0,429760.0,,,,,,
VHM,2019-09-06,65620.0,65620.0,64890.0,65480.0,243750.0,,,,,,
VHM,2019-09-09,65480.0,65480.0,64810.0,65180.0,336920.0,,,,,,
VHM,2019-09-10,65180.0,65260.0,64370.0,64890.0,317650.0,,,,,,
VHM,2019-09-11,64519.0,64739.0,63260.0,63630.0,549770.0,,,,,,
VHM,2019-09-12,64440.0,64440.0,63630.0,64080.0,289830.0,,,,,,
VHM,2019-09-13,64440.0,64890.0,63490.0,64890.0,361780.0,,,,,,
VHM,2019-09-16,64220.0,65550.0,64220.0,65260.0,563460.0,,,,,,
VHM,2019-09-17,65260.0,66730.0,65180.0,66580.0,921810.0,,,,,,
